text,lemma,pos,tag,morph,nearest,similarity,precedes
esempio,esempio,NOUN,S,Gender=Masc|Number=Sing,es.,0.6814642548561096,NO
ricerca,ricerca,NOUN,S,Gender=Fem|Number=Sing,sperimentazione,0.6362247467041016,NO
piano,piano,NOUN,B,Gender=Masc|Number=Sing,piani,0.6169511079788208,NO
uso,uso,NOUN,S,Gender=Masc|Number=Sing,utilizzo,0.8577773571014404,NO
periodo,periodo,NOUN,S,Gender=Masc|Number=Sing,lasso,0.6664190292358398,NO
secolo,secolo,NOUN,S,Gender=Masc|Number=Sing,millennio,0.7211664319038391,NO
agosto,agosto,NOUN,S,Gender=Masc|Number=Sing,luglio,0.9553330540657043,YES
tipo,tipo,NOUN,S,Gender=Masc|Number=Sing,genere,0.6726912260055542,NO
pagina,pagina,NOUN,S,Gender=Fem|Number=Sing,pagine,0.6783246994018555,NO
uomo,uomo,NOUN,S,Gender=Masc|Number=Sing,donna,0.6629462242126465,NO
titolo,titolo,NOUN,S,Gender=Masc|Number=Sing,sottotitolo,0.6097219586372375,NO
progetto,progetto,NOUN,S,Gender=Masc|Number=Sing,programma,0.6449972987174988,NO
guerra,guerra,NOUN,S,Gender=Fem|Number=Sing,guerre,0.6356596946716309,NO
livello,livello,NOUN,S,Gender=Masc|Number=Sing,livelli,0.6365059614181519,NO
forma,forma,NOUN,S,Gender=Fem|Number=Sing,dimensione,0.5811893343925476,NO
http,http,NOUN,S,,https,0.817719042301178,NO
gioco,gioco,NOUN,S,Gender=Masc|Number=Sing,videogioco,0.677927553653717,NO
opera,opera,NOUN,S,Gender=Fem|Number=Sing,compiuta,0.5918923020362854,NO
foto,foto,NOUN,S,Gender=Fem,fotografie,0.781371533870697,NO
album,album,NOUN,S,Gender=Masc,disco,0.6726669669151306,NO
legge,legge,NOUN,S,Gender=Fem|Number=Sing,norma,0.6686541438102722,NO
acqua,acqua,NOUN,S,Gender=Fem|Number=Sing,potabile,0.6925430297851562,NO
euro,euro,NOUN,S,Gender=Masc,euri,0.7777860164642334,NO
articolo,articolo,NOUN,S,Gender=Masc|Number=Sing,paragrafo,0.6463586091995239,NO
libro,libro,NOUN,S,Gender=Masc|Number=Sing,romanzo,0.7850711941719055,NO
versione,versione,NOUN,S,Gender=Fem|Number=Sing,versioni,0.6846172213554382,NO
causa,causa,NOUN,S,Gender=Fem|Number=Sing,causata,0.6230016350746155,NO
m,m,NOUN,X,Gender=Masc,m.,0.7006354331970215,NO
grado,grado,NOUN,S,Gender=Masc|Number=Sing,capace,0.6479836702346802,NO
campo,campo,NOUN,S,Gender=Masc|Number=Sing,campi,0.6550353169441223,NO
inizio,inizio,NOUN,S,Gender=Masc|Number=Sing,inizi,0.6989730000495911,NO
squadra,squadra,NOUN,S,Gender=Fem|Number=Sing,compagine,0.7214656472206116,NO
struttura,struttura,NOUN,S,Gender=Fem|Number=Sing,organizzativa,0.585793673992157,NO
successo,successo,NOUN,S,Gender=Masc|Number=Sing,riscosso,0.6772645115852356,NO
termine,termine,NOUN,S,Gender=Masc|Number=Sing,vocabolo,0.5770761370658875,NO
linea,linea,NOUN,S,Gender=Fem|Number=Sing,linee,0.5767713785171509,NO
territorio,territorio,NOUN,S,Gender=Masc|Number=Sing,territoriale,0.7175469994544983,NO
problema,problema,NOUN,S,Gender=Masc|Number=Sing,inconveniente,0.6827915906906128,NO
luogo,luogo,NOUN,S,Gender=Masc|Number=Sing,momento,0.5525949597358704,YES
persona,persona,NOUN,S,Gender=Fem|Number=Sing,donna,0.5810675621032715,NO
studio,studio,NOUN,S,Gender=Masc|Number=Sing,studi,0.6018034219741821,NO
ruolo,ruolo,NOUN,S,Gender=Masc|Number=Sing,ruoli,0.6560640931129456,NO
genere,genere,NOUN,S,Gender=Masc|Number=Sing,tipo,0.6726913452148438,YES
cucina,cucina,NOUN,S,Gender=Fem|Number=Sing,gastronomia,0.6436905860900879,NO
strada,strada,NOUN,S,Gender=Fem|Number=Sing,stradina,0.6603885293006897,NO
terra,terra,NOUN,S,Gender=Fem|Number=Sing,suolo,0.562235951423645,NO
programma,programma,NOUN,S,Gender=Masc|Number=Sing,programmi,0.6578049063682556,NO
paese,paese,NOUN,S,Gender=Masc|Number=Sing,paesino,0.6682729721069336,NO
provincia,provincia,NOUN,S,Gender=Fem|Number=Sing,regione,0.6452468633651733,NO
sede,sede,NOUN,S,Gender=Fem|Number=Sing,sedi,0.6018816828727722,NO
prezzo,prezzo,NOUN,S,Gender=Masc|Number=Sing,costo,0.7161644697189331,NO
amore,amore,NOUN,S,Gender=Masc|Number=Sing,sentimento,0.6749745011329651,NO
figlio,figlio,NOUN,S,Gender=Masc|Number=Sing,padre,0.8587051033973694,NO
area,area,NOUN,S,Gender=Fem|Number=Sing,zona,0.6483762860298157,NO
mare,mare,NOUN,S,Gender=Masc|Number=Sing,oceano,0.645458459854126,NO
senso,senso,NOUN,S,Gender=Masc|Number=Sing,significato,0.6026570796966553,NO
scuola,scuola,NOUN,S,Gender=Fem|Number=Sing,scolastica,0.6788038015365601,NO
padre,padre,NOUN,S,Gender=Masc|Number=Sing,figlio,0.8587051033973694,YES
corpo,corpo,NOUN,S,Gender=Masc|Number=Sing,viso,0.5920358300209045,NO
cura,cura,NOUN,S,Gender=Fem|Number=Sing,curata,0.607020914554596,NO
ordine,ordine,NOUN,S,Gender=Masc|Number=Sing,cronologico,0.5849242806434631,NO
chiesa,chiesa,NOUN,S,Gender=Fem|Number=Sing,chiesetta,0.769792914390564,NO
sviluppo,sviluppo,NOUN,S,Gender=Masc|Number=Sing,crescita,0.6050366759300232,NO
presidente,presidente,NOUN,S,Gender=Masc|Number=Sing,vicepresidente,0.863442063331604,NO
rete,rete,NOUN,S,Gender=Fem|Number=Sing,reti,0.6415461897850037,NO
diritto,diritto,NOUN,S,Gender=Masc|Number=Sing,diritti,0.6208521127700806,NO
azienda,azienda,NOUN,S,Gender=Fem|Number=Sing,ditta,0.6394707560539246,NO
mano,mano,NOUN,S,Gender=Fem|Number=Sing,mani,0.6381494998931885,NO
auto,auto,NOUN,V,Gender=Fem,automobile,0.7363795638084412,NO
musica,musica,NOUN,S,Gender=Fem|Number=Sing,musicale,0.6808194518089294,NO
stile,stile,NOUN,S,Gender=Masc|Number=Sing,sobrio,0.6229714751243591,NO
web,web,NOUN,S,Gender=Masc,sito,0.7531372904777527,NO
viaggio,viaggio,NOUN,S,Gender=Masc|Number=Sing,viaggi,0.6962720155715942,NO
donna,donna,NOUN,S,Gender=Fem|Number=Sing,ragazza,0.7294330596923828,NO
occasione,occasione,NOUN,S,Gender=Fem|Number=Sing,occasioni,0.6333146691322327,NO
notte,notte,NOUN,S,Gender=Fem|Number=Sing,nottata,0.6846342086791992,NO
mese,mese,NOUN,S,Gender=Masc|Number=Sing,anno,0.746475875377655,YES
governo,governo,NOUN,S,Gender=Masc|Number=Sing,parlamento,0.6842935681343079,NO
controllo,controllo,NOUN,S,Gender=Masc|Number=Sing,monitoraggio,0.6512697339057922,NO
richiesta,richiesta,NOUN,S,Gender=Fem|Number=Sing,domanda,0.638918399810791,NO
fronte,fronte,NOUN,S,Number=Sing,davanti,0.7144584059715271,NO
idea,idea,NOUN,S,Gender=Fem|Number=Sing,intuizione,0.6503202319145203,NO
gestione,gestione,NOUN,S,Gender=Fem|Number=Sing,pianificazione,0.6408083438873291,NO
settimana,settimana,NOUN,S,Gender=Fem|Number=Sing,mese,0.6976125240325928,YES
settore,settore,NOUN,S,Gender=Masc|Number=Sing,comparto,0.6833187341690063,NO
utilizzo,utilizzo,NOUN,S,Gender=Masc|Number=Sing,uso,0.8577774167060852,YES
testo,testo,NOUN,S,Gender=Masc|Number=Sing,documento,0.6292660236358643,NO
spazio,spazio,NOUN,S,Gender=Masc|Number=Sing,spazi,0.6002078652381897,NO
specie,specie,NOUN,S,Gender=Fem,sottospecie,0.6561864614486694,NO
bagno,bagno,NOUN,S,Gender=Masc|Number=Sing,doccia,0.7115084528923035,NO
blog,blog,NOUN,S,,post,0.6753433346748352,NO
valore,valore,NOUN,S,Gender=Masc|Number=Sing,intrinseco,0.6764400601387024,NO
conto,conto,NOUN,S,Gender=Masc|Number=Sing,conti,0.5682401657104492,NO
autore,autore,NOUN,S,Gender=Masc|Number=Sing,autrice,0.6562761664390564,NO
regione,regione,NOUN,S,Gender=Fem|Number=Sing,provincia,0.6452468633651733,YES
mezzo,mezzo,NOUN,S,Gender=Masc|Number=Sing,milione,0.5494267344474792,NO
cuore,cuore,NOUN,S,Gender=Masc|Number=Sing,cuori,0.5843660831451416,NO
lingua,lingua,NOUN,S,Gender=Fem|Number=Sing,straniera,0.6789973974227905,NO
luce,luce,NOUN,S,Gender=Fem|Number=Sing,luminosità,0.604314386844635,NO
discussione,discussione,NOUN,S,Gender=Fem|Number=Sing,discussioni,0.6548753976821899,NO
accesso,accesso,NOUN,S,Gender=Masc|Number=Sing,accedere,0.6482402086257935,NO
re,re,NOUN,S,Gender=Masc,monarca,0.46967652440071106,NO
forza,forza,NOUN,S,Gender=Fem|Number=Sing,debolezza,0.6388009190559387,NO
calcio,calcio,NOUN,S,Gender=Masc|Number=Sing,calcistico,0.6541914343833923,NO
modello,modello,NOUN,S,Gender=Masc|Number=Sing,prototipo,0.6150215864181519,NO
appartamento,appartamento,NOUN,S,Gender=Masc|Number=Sing,monolocale,0.7678626179695129,NO
set,set,NOUN,I,Gender=Masc,ott,0.5357019901275635,NO
riferimento,riferimento,NOUN,S,Gender=Masc|Number=Sing,riferimenti,0.5936796069145203,NO
bisogno,bisogno,NOUN,S,Gender=Masc|Number=Sing,necessita,0.691139280796051,NO
rapporto,rapporto,NOUN,S,Gender=Masc|Number=Sing,legame,0.7199372053146362,NO
bar,bar,NOUN,S,Gender=Masc,pub,0.6571494340896606,NO
classe,classe,NOUN,S,Gender=Fem|Number=Sing,classi,0.6200084090232849,NO
ingresso,ingresso,NOUN,S,Gender=Masc|Number=Sing,ingressi,0.685370683670044,NO
madre,madre,NOUN,S,Gender=Fem|Number=Sing,figlia,0.8203895092010498,NO
fase,fase,NOUN,S,Gender=Fem|Number=Sing,fasi,0.6379387378692627,NO
colore,colore,NOUN,S,Gender=Masc|Number=Sing,bianco,0.6462513208389282,NO
processo,processo,NOUN,S,Gender=Masc|Number=Sing,processi,0.7275864481925964,NO
quest,quest,NOUN,S,Gender=Fem,quest,0.7917272448539734,NO
natura,natura,NOUN,S,Gender=Fem|Number=Sing,bellezza,0.5762605667114258,NO
risultato,risultato,NOUN,S,Gender=Masc|Number=Sing,esito,0.6666633486747742,NO
categoria,categoria,NOUN,S,Gender=Fem|Number=Sing,categorie,0.6716084480285645,NO
immagine,immagine,NOUN,S,Gender=Fem|Number=Sing,raffigurazione,0.5980021357536316,NO
interesse,interesse,NOUN,S,Gender=Masc|Number=Sing,disinteresse,0.5835644006729126,NO
incontro,incontro,NOUN,S,Gender=Masc|Number=Sing,appuntamento,0.6249880790710449,NO
potere,potere,NOUN,S,Gender=Masc|Number=Sing,poteri,0.5949779748916626,NO
origine,origine,NOUN,S,Gender=Fem|Number=Sing,provenienza,0.6608166098594666,NO
carriera,carriera,NOUN,S,Gender=Fem|Number=Sing,carriere,0.6575914025306702,NO
risposta,risposta,NOUN,S,Gender=Fem|Number=Sing,domanda,0.6721355319023132,NO
ambiente,ambiente,NOUN,S,Gender=Masc|Number=Sing,ecosistema,0.6421957612037659,NO
cm,cm,NOUN,S,,cm.,0.7245761752128601,NO
gara,gara,NOUN,S,Gender=Fem|Number=Sing,gare,0.690532922744751,NO
soggiorno,soggiorno,NOUN,S,Gender=Masc|Number=Sing,soggiorni,0.6129583716392517,NO
oro,oro,NOUN,S,Gender=Masc|Number=Sing,argento,0.8733903169631958,NO
capo,capo,NOUN,S,Gender=Masc|Number=Sing,comandante,0.5848356485366821,NO
moglie,moglie,NOUN,S,Gender=Fem|Number=Sing,figlia,0.813615620136261,NO
codice,codice,NOUN,S,Gender=Masc|Number=Sing,codici,0.6633086204528809,NO
accordo,accordo,NOUN,S,Gender=Masc|Number=Sing,daccordo,0.6482715606689453,NO
tema,tema,NOUN,S,Gender=Masc|Number=Sing,argomento,0.6842430233955383,NO
sinistra,sinistra,NOUN,S,Gender=Fem|Number=Sing,destra,0.9518430233001709,NO
ecc,ecc,NOUN,S,,etc,0.9155318737030029,NO
aria,aria,NOUN,S,Gender=Fem|Number=Sing,acqua,0.5937427878379822,YES
episodio,episodio,NOUN,S,Gender=Masc|Number=Sing,episodi,0.6423242688179016,NO
indirizzo,indirizzo,NOUN,S,Gender=Masc|Number=Sing,indirizzi,0.6062795519828796,NO
resto,resto,NOUN,S,Gender=Masc|Number=Sing,tutto,0.7425366044044495,NO
stampa,stampa,NOUN,S,Gender=Fem|Number=Sing,stampata,0.612739622592926,NO
oggetto,oggetto,NOUN,S,Gender=Masc|Number=Sing,soggetto,0.5485605597496033,NO
campagna,campagna,NOUN,S,Gender=Fem|Number=Sing,campagne,0.707748532295227,NO
ritorno,ritorno,NOUN,S,Gender=Masc|Number=Sing,rientro,0.7019984126091003,NO
energia,energia,NOUN,S,Gender=Fem|Number=Sing,elettricità,0.7356948852539062,NO
evento,evento,NOUN,S,Gender=Masc|Number=Sing,avvenimento,0.7792636156082153,NO
vittoria,vittoria,NOUN,S,Gender=Fem|Number=Sing,sconfitta,0.7754644155502319,NO
fondo,fondo,NOUN,S,Gender=Masc|Number=Sing,profondo,0.5071590542793274,NO
protagonista,protagonista,NOUN,S,Number=Sing,co-protagonista,0.7131192684173584,NO
cookie,cookie,NOUN,S,Gender=Masc|Number=Plur,cookies,0.8525853157043457,NO
amico,amico,NOUN,S,Gender=Masc|Number=Sing,compagno,0.6976155638694763,NO
recensione,recensione,NOUN,S,Gender=Fem|Number=Sing,recensito,0.56336909532547,NO
atto,atto,NOUN,S,Gender=Masc|Number=Sing,costitutivo,0.5375354290008545,NO
personaggio,personaggio,NOUN,S,Gender=Masc|Number=Sing,personaggi,0.6747460961341858,NO
aiuto,aiuto,NOUN,S,Gender=Masc|Number=Sing,ausilio,0.6181930899620056,NO
questione,questione,NOUN,S,Gender=Fem|Number=Sing,faccenda,0.7348571419715881,NO
isola,isola,NOUN,S,Gender=Fem|Number=Sing,arcipelago,0.670400857925415,NO
battaglia,battaglia,NOUN,S,Gender=Fem|Number=Sing,battaglie,0.6783488392829895,NO
maniera,maniera,NOUN,S,Gender=Fem|Number=Sing,modo,0.6689661145210266,YES
rischio,rischio,NOUN,S,Gender=Masc|Number=Sing,pericolo,0.7546047568321228,NO
intervento,intervento,NOUN,S,Gender=Masc|Number=Sing,interventi,0.691631019115448,NO
carta,carta,NOUN,S,Gender=Fem|Number=Sing,carte,0.6299629807472229,NO
scopo,scopo,NOUN,S,Gender=Masc|Number=Sing,intento,0.6874353885650635,NO
sera,sera,NOUN,S,Gender=Fem|Number=Sing,mattina,0.8385569453239441,NO
uscita,uscita,NOUN,S,Gender=Fem|Number=Sing,entrata,0.7056010961532593,NO
destra,destra,NOUN,S,Gender=Fem|Number=Sing,sinistra,0.9518429040908813,YES
materiale,materiale,NOUN,S,Gender=Masc|Number=Sing,materiali,0.6459648013114929,NO
analisi,analisi,NOUN,S,Gender=Fem,indagine,0.6756009459495544,NO
motore,motore,NOUN,S,Gender=Masc|Number=Sing,propulsore,0.7383484840393066,NO
aspetto,aspetto,NOUN,S,Gender=Masc|Number=Sing,atteggiamento,0.5844990611076355,NO
lug,lug,NOUN,S,Gender=Masc,apr,0.9222877025604248,NO
mm,mm,NOUN,S,,cm,0.7223148345947266,YES
giro,giro,NOUN,S,Gender=Masc|Number=Sing,girando,0.6170595288276672,NO
crisi,crisi,NOUN,S,Gender=Fem,recessione,0.7419331669807434,NO
trattamento,trattamento,NOUN,S,Gender=Masc|Number=Sing,trattamenti,0.6621653437614441,NO
parola,parola,NOUN,S,Gender=Fem|Number=Sing,frase,0.7170886397361755,NO
motivo,motivo,NOUN,S,Gender=Masc|Number=Sing,questo,0.6317068934440613,NO
software,software,NOUN,S,Gender=Masc,hardware,0.6863819360733032,NO
romanzo,romanzo,NOUN,S,Gender=Masc|Number=Sing,libro,0.7850712537765503,YES
arrivo,arrivo,NOUN,S,Gender=Masc|Number=Sing,partenza,0.6476491093635559,NO
movimento,movimento,NOUN,S,Gender=Masc|Number=Sing,movimenti,0.690918505191803,NO
piazza,piazza,NOUN,S,Gender=Fem|Number=Sing,piazzetta,0.7441225051879883,NO
mq,mq,NOUN,S,,m2,0.7189294695854187,NO
commento,commento,NOUN,S,Gender=Masc|Number=Sing,post,0.6282883286476135,NO
effetto,effetto,NOUN,S,Gender=Masc|Number=Sing,impatto,0.6444175839424133,NO
club,club,NOUN,S,Gender=Masc,circoli,0.513573169708252,NO
distanza,distanza,NOUN,S,Gender=Fem|Number=Sing,distante,0.6290373802185059,NO
olio,olio,NOUN,S,Gender=Masc|Number=Sing,oliva,0.7617202997207642,NO
attore,attore,NOUN,S,Gender=Masc|Number=Sing,attrice,0.7114965319633484,NO
bambino,bambino,NOUN,S,Gender=Masc|Number=Sing,bimbo,0.8727877736091614,NO
obiettivo,obiettivo,NOUN,S,Gender=Masc|Number=Sing,obbiettivo,0.9357939958572388,NO
favore,favore,NOUN,S,Gender=Masc|Number=Sing,sfavore,0.7049927711486816,NO
legno,legno,NOUN,S,Gender=Masc|Number=Sing,metallo,0.6902215480804443,NO
fratello,fratello,NOUN,S,Gender=Masc|Number=Sing,cugino,0.8182010054588318,NO
consiglio,consiglio,NOUN,S,Gender=Masc|Number=Sing,consiglierei,0.6604804992675781,NO
turno,turno,NOUN,S,Gender=Masc|Number=Sing,turni,0.5767582058906555,NO
pratica,pratica,NOUN,S,Gender=Fem|Number=Sing,teorica,0.6733736991882324,NO
nord,nord,NOUN,S,Gender=Masc|Number=Sing,sud,0.9588430523872375,NO
gente,gente,NOUN,S,Gender=Fem|Number=Sing,tantissima,0.5885798931121826,NO
fuoco,fuoco,NOUN,S,Gender=Masc|Number=Sing,fiamme,0.5935103893280029,NO
canzone,canzone,NOUN,S,Gender=Fem|Number=Sing,brano,0.7312990427017212,NO
macchina,macchina,NOUN,S,Gender=Fem|Number=Sing,macchinetta,0.6706348657608032,NO
superficie,superficie,NOUN,S,Gender=Fem|Number=Sing,densità,0.5853000283241272,NO
procedura,procedura,NOUN,S,Gender=Fem|Number=Sing,procedure,0.6711840033531189,NO
capitale,capitale,NOUN,S,Gender=Fem|Number=Sing,capitali,0.6067429780960083,NO
disco,disco,NOUN,S,Gender=Masc|Number=Sing,dischi,0.7215886116027832,NO
contenuto,contenuto,NOUN,S,Gender=Masc|Number=Sing,contenuti,0.6766836643218994,NO
sud,sud,NOUN,S,Gender=Masc|Number=Sing,nord,0.9588430523872375,YES
passo,passo,NOUN,S,Gender=Masc|Number=Sing,avanti,0.6596149802207947,NO
ragione,ragione,NOUN,S,Gender=Fem|Number=Sing,torto,0.6516506671905518,NO
standard,standard,NOUN,S,Gender=Masc,qualitativi,0.6241359710693359,NO
direttore,direttore,NOUN,S,Gender=Masc|Number=Sing,vicedirettore,0.7867990136146545,NO
acquisto,acquisto,NOUN,S,Gender=Masc|Number=Sing,acquistare,0.63899827003479,NO
esterno,esterno,NOUN,S,Gender=Masc|Number=Sing,interno,0.7790979743003845,NO
esercito,esercito,NOUN,S,Gender=Masc|Number=Sing,eserciti,0.6558761596679688,NO
giocatore,giocatore,NOUN,S,Gender=Masc|Number=Sing,calciatore,0.7021960616111755,NO
attacco,attacco,NOUN,S,Gender=Masc|Number=Sing,assalto,0.6856337189674377,NO
peso,peso,NOUN,S,Gender=Masc|Number=Sing,pesare,0.6287400126457214,NO
memoria,memoria,NOUN,S,Gender=Fem|Number=Sing,memorizzazione,0.5847563743591309,NO
salute,salute,NOUN,S,Gender=Fem|Number=Sing,benessere,0.6291056275367737,NO
supporto,supporto,NOUN,S,Gender=Masc|Number=Sing,sostegno,0.7044588327407837,NO
domenica,domenica,NOUN,S,Gender=Fem|Number=Sing,sabato,0.8911085724830627,NO
pelle,pelle,NOUN,S,Gender=Fem|Number=Sing,epidermide,0.5934063792228699,NO
materia,materia,NOUN,S,Gender=Fem|Number=Sing,legislazione,0.6198093891143799,NO
internet,internet,NOUN,S,,web,0.7288121581077576,YES
strumento,strumento,NOUN,S,Gender=Masc|Number=Sing,strumenti,0.6151518821716309,NO
edificio,edificio,NOUN,S,Gender=Masc|Number=Sing,palazzo,0.6821518540382385,NO
crescita,crescita,NOUN,S,Gender=Fem|Number=Sing,diminuzione,0.6115830540657043,NO
band,band,NOUN,SW,Gender=Fem,rock,0.6597387790679932,NO
pagamento,pagamento,NOUN,S,Gender=Masc|Number=Sing,pagamenti,0.598556399345398,NO
visita,visita,NOUN,S,Gender=Fem|Number=Sing,visitare,0.6294910907745361,NO
regista,regista,NOUN,S,Gender=Masc|Number=Sing,sceneggiatore,0.7909333109855652,NO
contatto,contatto,NOUN,S,Gender=Masc|Number=Sing,contatti,0.5949169397354126,NO
computer,computer,NOUN,S,Gender=Masc,notebook,0.6358780264854431,NO
vescovo,vescovo,NOUN,S,Gender=Masc|Number=Sing,arcivescovo,0.8457280397415161,NO
apertura,apertura,NOUN,S,Gender=Fem|Number=Sing,chiusura,0.78214031457901,NO
messaggio,messaggio,NOUN,S,Gender=Masc|Number=Sing,messaggi,0.6630530953407288,NO
email,email,NOUN,S,Gender=Fem,mail,0.8090283870697021,NO
scrittore,scrittore,NOUN,S,Gender=Masc|Number=Sing,romanziere,0.8356412649154663,NO
costo,costo,NOUN,S,Gender=Masc|Number=Sing,prezzo,0.7161645293235779,YES
membro,membro,NOUN,S,Gender=Masc|Number=Sing,membri,0.6564586162567139,NO
passaggio,passaggio,NOUN,S,Gender=Masc|Number=Sing,transito,0.6520773768424988,NO
importanza,importanza,NOUN,S,Gender=Fem|Number=Sing,rilevanza,0.730946958065033,NO
parco,parco,NOUN,S,Gender=Masc|Number=Sing,giardino,0.6152137517929077,NO
cambio,cambio,NOUN,S,Gender=Masc|Number=Sing,cambi,0.6406714916229248,NO
matrimonio,matrimonio,NOUN,S,Gender=Masc|Number=Sing,fidanzamento,0.7226153612136841,NO
fonte,fonte,NOUN,S,Gender=Fem|Number=Sing,fonti,0.6071093678474426,NO
marito,marito,NOUN,S,Gender=Masc|Number=Sing,suocero,0.7722115516662598,NO
medico,medico,NOUN,S,Gender=Masc|Number=Sing,ginecologo,0.7230664491653442,NO
festa,festa,NOUN,S,Gender=Fem|Number=Sing,celebrazione,0.6947545409202576,NO
scheda,scheda,NOUN,S,Gender=Fem|Number=Sing,schede,0.6040473580360413,NO
allenatore,allenatore,NOUN,S,Gender=Masc|Number=Sing,allenatori,0.7089160084724426,NO
impegno,impegno,NOUN,S,Gender=Masc|Number=Sing,profuso,0.6826865077018738,NO
trasporto,trasporto,NOUN,S,Gender=Masc|Number=Sing,trasporti,0.6795666217803955,NO
economia,economia,NOUN,S,Gender=Fem|Number=Sing,finanza,0.6743208765983582,NO
lettera,lettera,NOUN,S,Gender=Fem|Number=Sing,missiva,0.6893536448478699,NO
merito,merito,NOUN,S,Gender=Masc|Number=Sing,riguardo,0.6975467205047607,NO
piacere,piacere,NOUN,S,Gender=Masc|Number=Sing,dispiacere,0.6721276044845581,NO
carattere,carattere,NOUN,S,Gender=Masc|Number=Sing,temperamento,0.6645508408546448,NO
castello,castello,NOUN,S,Gender=Masc|Number=Sing,castelli,0.6514527201652527,NO
impianto,impianto,NOUN,S,Gender=Masc|Number=Sing,impianti,0.6671111583709717,NO
compagnia,compagnia,NOUN,S,Gender=Fem|Number=Sing,compagnie,0.5846595168113708,NO
ufficio,ufficio,NOUN,S,Gender=Masc|Number=Sing,uffici,0.6532537341117859,NO
terreno,terreno,NOUN,S,Gender=Masc|Number=Sing,appezzamento,0.6440802216529846,NO
pensiero,pensiero,NOUN,S,Gender=Masc|Number=Sing,ragionamento,0.5918566584587097,NO
giudizio,giudizio,NOUN,S,Gender=Masc|Number=Sing,giudizi,0.6446676850318909,NO
paura,paura,NOUN,S,Gender=Fem|Number=Sing,timore,0.770628809928894,NO
consenso,consenso,NOUN,S,Gender=Masc|Number=Sing,assenso,0.6413939595222473,NO
